Profession,married_men,married_women,difference,work_more
Accountants and auditors,9.0,7.7,1.3,men
Actors,7.0,6.4,0.6,men
Actuaries,8.9,8.4,0.5,men
Adhesive Bonding Machine Operators and Tenders,8.3,9.4,1.1,women
Administrative services managers,8.9,8.3,0.6,men
Advertising and promotions managers,9.1,7.8,1.3,men
Advertising Sales Agents,8.9,7.9,1.0,men
Aerospace Engineers,8.7,8.3,0.4,men
"Agents and business managers of artists, performers, and atheletes",8.5,8.0,0.5,men
Agricultural and Food Science Technicians,8.7,8.1,0.6,men
Agricultural and Food Scientists,8.8,7.6,1.2,men
Agricultural Inspectors,9.2,8.2,1.0,men
Air Traffic Controllers and Airfield Operations Specialists,8.5,8.1,0.4,men
Aircraft Mechanics and Service Technicians,8.9,9.7,0.8,women
Aircraft Pilots and Flight Engineers,9.1,7.6,1.5,men
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",8.4,7.2,1.2,men
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",8.3,8.6,0.3,women
Animal Control Workers,7.9,8.4,0.5,women
Animal Trainers,9.6,7.5,2.1,men
Announcers,8.2,7.7,0.5,men
Appraisers and assessors of real estate,9.2,7.8,1.4,men
"Architects, Except Naval",8.8,7.6,1.2,men
Architectural and engineering managers,9.4,8.6,0.8,men
"Archivists, Curators, and Museum Technicians",9.6,7.7,1.9,men
Artists and Related Workers,8.6,6.8,1.8,men
Astronomers and Physicists,9.0,8.7,0.3,men
"Athletes, Coaches, Umpires, and Related Workers",8.9,4.7,4.2,men
Atmospheric and Space Scientists,8.6,6.1,2.5,men
Audiologists,7.2,7.0,0.2,men
Automotive and Watercraft Service Attendants,8.5,6.5,2.0,men
Automotive Body and Related Repairers,8.7,8.0,0.7,men
Automotive Service Technicians and Mechanics,8.8,7.9,0.9,men
Avionics Technicians,9.0,8.5,0.5,men
"Baggage Porters, Bellhops, and Concierges",7.9,7.3,0.6,men
"Bailiffs, Correctional Officers, and Jailers",8.7,8.7,0.0,neither
Bakers,8.0,7.1,0.9,men
Barbers,8.0,6.9,1.1,men
Bartenders,7.7,6.2,1.5,men
Bill and Account Collectors,8.6,8.0,0.6,men
Billing and Posting Clerks,8.1,7.4,0.7,men
Biological Scientists,8.5,8.2,0.3,men
